Title,TomatometerScore,AudienceScore,Rating,Genre,Director,R. Date (Theaters),R. Date (Streaming),Runtime
Carmilla,71.0,,NR,fantasy,EmilyHarris,2020-07-17,2020-07-17,94.0
The Truth (La Vérité),87.0,68.0,PG,drama,HirokazuKoreeda,,2020-07-01,106.0
Guest Of Honour,41.0,,NR,drama,AtomEgoyan,2020-07-10,2020-07-10,105.0
Black Magic For White Boys,80.0,,NR,comedy,OnurTukel,2020-07-03,2020-07-03,105.0
The Painted Bird,81.0,56.0,NR,drama,VáclavMarhoul,2020-07-17,2020-07-15,169.0
The Outpost,92.0,83.0,R,drama,RodLurie,2020-07-03,2020-07-03,123.0
Volition,88.0,89.0,NR,scifi,TonyDeanSmith,2020-07-10,2020-07-10,91.0
Dirt Music,29.0,55.0,NR,romance,GregorJordan,,2020-07-17,105.0
First Cow,96.0,56.0,PG-13,drama,KellyReichardt,2020-03-06,2020-07-10,122.0
The Prince (El Principe),92.0,86.0,NR,drama,SebastiánMuñoz,,2020-07-07,
Inmate #1: The Rise Of Danny Trejo,100.0,100.0,NR,documentary,BrettHarvey,,2020-07-05,110.0
Blessed Child,90.0,,NR,documentary,CaraJones,,2020-07-17,74.0
Relic,91.0,48.0,R,drama,NatalieErikaJames,2020-07-10,2020-06-26,89.0
Enter The Fat Dragon,64.0,90.0,NR,action,TanigakiKenji,2020-02-14,2020-07-12,97.0
Animation Outlaws,100.0,,NR,documentary,KatAlioshin,,2020-07-12,65.0
Archive,71.0,69.0,NR,scifi,GavinRothery,2020-07-10,2020-07-10,105.0
Blood Vessel,73.0,21.0,NR,horror,,,2020-07-16,93.0
Elvis From Outer Space,0.0,,NR,comedy,M.Z.Silverman,2020-07-07,2020-07-07,92.0
"I, Pastafari: A Flying Spaghetti Monster Story",75.0,85.0,NR,documentary,MichaelArthur,2020-07-07,2020-07-07,56.0
Mighty Oak,65.0,88.0,PG-13,drama,SeanMcNamara,2020-06-05,2020-07-05,102.0
Money Plane,25.0,46.0,NR,action,AndrewLawrence,,2020-07-10,82.0
Useless Humans,40.0,96.0,NR,scifi,StephenOhl,2020-07-14,2020-07-12,77.0
Never Too Late,50.0,44.0,NR,drama,MarkLamprell,,2020-07-10,98.0
Easy Does It,29.0,79.0,NR,adventure,WillAddison,,2020-07-17,97.0
A Nice Girl Like You,11.0,51.0,R,romance,ChrisRiedell,,2020-07-15,94.0
The Silencing,18.0,90.0,R,mysteryandthriller,RobinPront,2020-08-14,2020-07-16,93.0
Viena And The Fantomes,20.0,25.0,R,music,GerardoNaranjo,,2020-06-30,105.0
Caniba,59.0,33.0,NR,documentary,"VerenaParavel,LucienCastaing-Taylor",2018-10-19,2020-01-12,90.0
The Ghost Of Peter Sellers,95.0,64.0,NR,documentary,PeterMedak,,2020-06-23,93.0
StarDog And TurboCat,50.0,,PG,comedy,BenSmith,2020-06-19,2020-06-23,91.0
Beats,98.0,74.0,NR,drama,BrianWelsh,,2020-09-02,101.0
Zombie For Sale,89.0,78.0,NR,nan,LeeMin-jae,,2020-07-01,
Scheme Birds,91.0,,NR,documentary,"EllenFiske,EllinorHallin",,2020-07-06,90.0
All I Can Say,80.0,,NR,documentary,"DannyClinch,TarynGould,ColleenHennessy,ShannonHoon",2020-06-26,2020-06-26,102.0
Babyteeth,94.0,84.0,NR,comedy,ShannonMurphy,,2020-06-18,117.0
The Audition (Das Vorspiel),78.0,,NR,drama,InaWeisse,,2020-06-26,
Scare Package,80.0,85.0,NR,horror,CourtneyAndujar,,2020-06-19,103.0
John Lewis: Good Trouble,96.0,71.0,PG,documentary,DawnPorter,2020-07-03,2020-07-03,96.0
Miss Juneteenth,99.0,58.0,NR,drama,ChanningGodfreyPeoples,2020-06-19,2020-06-19,103.0
Irresistible,40.0,66.0,R,comedy,JonStewart,2020-06-26,2020-06-26,101.0
Disclosure,100.0,,NR,drama,MichaelBentham,,2020-06-26,
Ask No Questions,100.0,86.0,NR,documentary,"JasonLoftus,EricPedicelli",,2020-06-28,79.0
Ghosts Of War,38.0,44.0,R,horror,EricBress,,2020-06-18,95.0
I Am Vengeance: Retaliation,44.0,23.0,R,action,RossBoyask,,2020-06-19,90.0
Four Kids And It,50.0,19.0,PG,fantasy,AndyDeEmmony,2020-06-30,2020-06-30,110.0
Two Heads Creek,90.0,69.0,NR,horror,JesseO'Brien,,2020-06-26,85.0
Money Machine,44.0,,NR,documentary,RamseyDenison,,2020-07-03,74.0
Manchild: The Schea Cotton Story,100.0,100.0,NR,documentary,"Eric""Ptah""Herbert",,,74.0
Force Of Nature,9.0,19.0,R,mysteryandthriller,MichaelPolish,2020-06-30,2020-06-30,91.0
Madagasikara,89.0,,NR,documentary,CamCowan,,2020-06-26,84.0
Run With The Hunted,0.0,40.0,NR,crime,JohnSwab,,2020-06-26,93.0
Daddy Issues,0.0,,NR,romance,LauraHolliday,2020-06-23,2020-06-23,80.0
Feel The Beat,47.0,57.0,NR,drama,ElissaDown,,2020-06-22,109.0
Aquaslash,29.0,27.0,NR,horror,RenaudGauthier,2020-06-23,2020-06-23,71.0
You Should Have Left,40.0,23.0,R,horror,DavidKoepp,,2020-06-19,93.0
Denise Ho: Becoming The Song,90.0,,NR,music,SueWilliams,,2020-08-03,83.0
Baby Frankenstein,83.0,,NR,fantasy,JonYonkondy,2018-10-26,2020-06-23,83.0
I Like Money (Mr. Topaze),50.0,,NR,comedy,PeterSellers,1962-05-18,2020-10-11,81.0
Burden,51.0,97.0,NR,drama,AndrewHeckler,2020-02-28,2020-06-06,129.0
What She Said: The Art Of Pauline Kael,88.0,52.0,NR,documentary,RobGarver,2019-12-25,2020-06-16,95.0
Knives Out,97.0,92.0,PG-13,comedy,RianJohnson,2019-11-27,2020-06-12,130.0
Mope,53.0,,NR,drama,LucasHeyne,0202-06-16,2020-06-16,105.0
Judy & Punch,77.0,60.0,NR,comedy,MirrahFoulkes,2020-06-05,2020-06-04,105.0
The Short History Of The Long Road,91.0,88.0,NR,drama,AniSimon-Kennedy,2020-05-15,2020-06-10,90.0
You Don't Nomi,88.0,60.0,NR,documentary,JeffreyMcHale,,2020-06-09,92.0
Seahorse: The Dad Who Gave Birth,100.0,,NR,documentary,JeanieFinlay,,2020-06-16,91.0
Tommaso,78.0,22.0,NR,drama,AbelFerrara,2020-06-05,2020-06-05,115.0
This Teacher,100.0,,NR,drama,MarkJackson,,2020-06-09,92.0
Driven,71.0,67.0,NR,horror,GlennPayne,2019-02-09,2020-06-16,90.0
Black Ops,67.0,,NR,horror,TomPaton,,2020-06-10,100.0
Exit Plan (Selvmords Turisten),38.0,33.0,NR,mysteryandthriller,JonasAlexanderArnby,2020-06-12,2020-06-12,90.0
Shirley,88.0,55.0,R,drama,JosephineDecker,2020-06-05,2020-06-04,107.0
Lost In America,100.0,100.0,NR,documentary,RotimiRainwater,2020-02-28,2020-06-09,94.0
The King Of Staten Island,74.0,84.0,R,drama,JuddApatow,,2020-05-28,137.0
Shoot To Marry,76.0,,NR,documentary,SteveMarkle,,2020-06-14,70.0
Return To Hardwick,100.0,100.0,PG,documentary,MichaelSellers,,2020-06-07,73.0
Dreamland,48.0,,NR,crime,BruceMcDonald,2020-06-05,2020-06-03,92.0
Think Like A Dog,70.0,52.0,PG,fantasy,GilJunger,,2020-06-08,91.0
The Collini Case,83.0,64.0,NR,crime,MarcoKreuzpaintner,,2020-06-04,123.0
The Accompanist,0.0,,NR,drama,FrederickKeeve,,2020-05-30,93.0
The Dinner Party,38.0,81.0,NR,horror,MilesDoleac,,2020-06-09,115.0
The Candy Witch,17.0,,NR,horror,RebeccaMatthews,,2020-06-09,90.0
